# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.094        0.000        4.059        9.270
       0.095        0.000        4.059        9.270
       0.096        0.000        4.059        9.270
       0.097        0.000        4.059        9.270
       0.098        0.000        4.059        9.270
       0.099        0.000        4.059        9.270
       0.100        0.000        4.059        9.270
       0.101        0.000        4.059        9.270
       0.102        0.000        4.059        9.270
       0.103        0.000        4.059        9.270
       0.103        0.000        4.059        9.270
       0.104        0.000        4.059        9.270
       0.105        0.000        4.059        9.270
       0.106        0.000        4.059        9.270
       0.107        0.000        4.059        9.270
       0.108        0.000        4.059        9.270
       0.109        0.000        4.059        9.270
       0.109        0.000        4.059        9.270
       0.110        0.000        4.059        9.270
       0.111        0.000        4.059        9.270
       0.112        0.000        4.059        9.270
       0.113        0.000        4.059        9.270
       0.114        0.000        4.059        9.270
       0.114        0.000        4.059        9.270
       0.115        0.000        4.059        9.270
       0.116        0.000        4.059        9.270
       0.117        0.000        4.059        9.270
       0.118        0.000        4.059        9.270
       0.119        0.000        4.059        9.270
       0.120        0.000        4.059        9.270
       0.121        0.000        4.059        9.270
       0.121        0.000        4.059        9.270
       0.122        0.000        4.059        9.270
       0.123        0.000        4.059        9.270
       0.124        0.000        4.059        9.270
       0.125        0.000        4.059        9.270
       0.126        0.000        4.059        9.270
       0.127        0.000        4.059        9.270
       0.127        0.000        4.059        9.270
       0.128        0.000        4.059        9.270
       0.129        0.000        4.059        9.270
       0.130        0.000        4.059        9.270
       0.131        0.000        4.059        9.270
       0.132        0.000        4.059        9.270
       0.133        0.000        4.059        9.270
       0.133        0.000        4.059        9.270
       0.134        0.000        4.059        9.270
       0.135        0.000        4.059        9.270
       0.136        0.000        4.059        9.270
       0.137        0.000        4.059        9.270
       0.138        0.000        4.059        9.270
       0.138        0.000        4.059        9.270
       0.139        0.000        4.059        9.270
       0.140        0.000        4.059        9.270
       0.141        0.000        4.059        9.270
       0.142        0.000        4.059        9.270
       0.143        0.000        4.059        9.270
       0.144        0.000        4.059        9.270
       0.144        0.000        4.059        9.270
       0.145        0.000        4.059        9.270
       0.146        0.000        4.059        9.270
       0.147        0.000        4.059        9.270
       0.148        0.000        4.059        9.270
       0.149        0.000        4.059        9.270
       0.150        0.000        4.059        9.270
       0.151        0.000        4.059        9.270
       0.152        0.000        4.059        9.270
       0.153        0.000        4.059        9.270
       0.154        0.000        4.059        9.270
       0.155        0.000        4.059        9.270
       0.155        0.000        4.059        9.270
       0.156        0.000        4.059        9.270
       0.157        0.000        4.059        9.270
       0.158        0.000        4.059        9.270
       0.159        0.000        4.059        9.270
       0.160        0.000        4.059        9.270
       0.161        0.000        4.059        9.270
       0.162        0.000        4.059        9.270
       0.163        0.000        4.059        9.270
       0.163        0.000        4.059        9.270
       0.164        0.000        4.059        9.270
       0.165        0.000        4.059        9.270
       0.166        0.000        4.059        9.270
       0.168        0.000        4.059        9.270
       0.168        0.000        4.059        9.270
       0.169        0.000        4.059        9.270
       0.170        0.000        4.059        9.270
       0.171        0.000        4.059        9.270
       0.172        0.000        4.059        9.270
       0.172        0.000        4.059        9.270
       0.174        0.000        4.059        9.270
       0.175        0.000        4.059        9.270
       0.175        0.000        4.059        9.270
       0.176        0.000        4.059        9.270
       0.177        0.000        4.059        9.270
       0.178        0.000        4.059        9.270
       0.179        0.000        4.059        9.270
       0.180        0.000        4.059        9.270
       0.180        0.000        4.059        9.270
       0.181        0.000        4.059        9.270
       0.182        0.000        4.059        9.270
       0.183        0.000        4.059        9.270
       0.184        0.000        4.059        9.270
       0.185        0.000        4.059        9.270
       0.186        0.000        4.059        9.270
       0.187        0.000        4.059        9.270
       0.187        0.000        4.059        9.270
       0.188        0.000        4.059        9.270
       0.189        0.000        4.059        9.270
       0.190        0.000        4.059        9.270
       0.191        0.000        4.059        9.270
       0.192        0.000        4.059        9.270
       0.192        0.000        4.059        9.270
       0.193        0.000        4.059        9.270
       0.194        0.000        4.059        9.270
       0.195        0.000        4.059        9.270
       0.196        0.000        4.059        9.270
       0.197        0.000        4.059        9.270
       0.198        0.000        4.059        9.270
       0.198        0.000        4.059        9.270
       0.199        0.000        4.059        9.270
       0.200        0.000        4.059        9.270
       0.201        0.000        4.059        9.270
       0.202        0.000        4.059        9.270
       0.203        0.000        4.059        9.270
       0.204        0.000        4.059        9.270
       0.204        0.000        4.059        9.270
       0.205        0.000        4.059        9.270
       0.206        0.000        4.059        9.270
       0.207        0.000        4.059        9.270
       0.208        0.000        4.059        9.270
       0.209        0.000        4.059        9.270
       0.210        0.000        4.059        9.270
       0.210        0.000        4.059        9.270
       0.211        0.000        4.059        9.270
       0.212        0.000        4.059        9.270
       0.213        0.000        4.059        9.270
       0.214        0.000        4.059        9.270
       0.215        0.000        4.059        9.270
       0.216        0.000        4.059        9.270
       0.217        0.000        4.059        9.270
       0.218        0.000        4.059        9.270
       0.219        0.000        4.059        9.270
       0.220        0.000        4.059        9.270
       0.221        0.000        4.059        9.270
       0.222        0.000        4.059        9.270
       0.222        0.000        4.059        9.270
       0.224        0.000        4.059        9.270
       0.224        0.000        4.059        9.270
       0.225        0.000        4.059        9.270
       0.226        0.000        4.059        9.270
       0.227        0.000        4.059        9.270
       0.228        0.000        4.059        9.270
       0.229        0.000        4.059        9.270
       0.229        0.000        4.059        9.270
       0.230        0.000        4.059        9.270
       0.231        0.000        4.059        9.270
       0.232        0.000        4.059        9.270
       0.233        0.000        4.059        9.270
       0.234        0.000        4.059        9.270
       0.235        0.000        4.059        9.270
       0.235        0.000        4.059        9.270
       0.236        0.000        4.059        9.270
       0.237        0.000        4.059        9.270
       0.238        0.000        4.059        9.270
       0.239        0.000        4.059        9.270
       0.240        0.000        4.059        9.270
       0.241        0.000        4.059        9.270
       0.241        0.000        4.059        9.270
       0.242        0.000        4.059        9.270
       0.243        0.000        4.059        9.270
       0.244        0.000        4.059        9.270
       0.245        0.000        4.059        9.270
       0.246        0.000        4.059        9.270
       0.247        0.000        4.059        9.270
       0.247        0.000        4.059        9.270
       0.248        0.000        4.059        9.270
       0.249        0.000        4.059        9.270
       0.250        0.000        4.059        9.270
       0.251        0.000        4.059        9.270
       0.252        0.000        4.059        9.270
       0.253        0.000        4.059        9.270
       0.254        0.000        4.059        9.270
       0.254        0.000        4.059        9.270
       0.255        0.000        4.059        9.270
       0.256        0.000        4.059        9.270
       0.257        0.000        4.059        9.270
       0.258        0.000        4.059        9.270
       0.259        0.000        4.059        9.270
       0.260        0.000        4.059        9.270
       0.260        0.000        4.059        9.270
       0.261        0.000        4.059        9.270
       0.262        0.000        4.059        9.270
       0.263        0.000        4.059        9.270
       0.264        0.000        4.059        9.270
       0.265        0.000        4.059        9.270
       0.266        0.000        4.059        9.270
       0.266        0.000        4.059        9.270
       0.267        0.000        4.059        9.270
       0.268        0.000        4.059        9.270
       0.269        0.000        4.059        9.270
       0.270        0.000        4.059        9.270
       0.271        0.000        4.059        9.270
       0.272        0.000        4.059        9.270
       0.272        0.000        4.059        9.270
       0.273        0.000        4.059        9.270
       0.274        0.000        4.059        9.270
       0.275        0.000        4.059        9.270
       0.276        0.000        4.059        9.270
       0.277        0.000        4.059        9.270
       0.278        0.000        4.059        9.270
       0.278        0.000        4.059        9.270
       0.279        0.000        4.059        9.270
       0.280        0.000        4.059        9.270
       0.281        0.000        4.059        9.270
       0.282        0.000        4.059        9.270
       0.283        0.000        4.059        9.270
       0.283        0.000        4.059        9.270
       0.284        0.000        4.059        9.270
       0.285        0.000        4.059        9.270
       0.286        0.000        4.059        9.270
       0.287        0.000        4.059        9.270
       0.288        0.000        4.059        9.270
       0.288        0.000        4.059        9.270
       0.289        0.000        4.059        9.270
       0.290        0.000        4.059        9.270
       0.291        0.000        4.059        9.270
       0.292        0.000        4.059        9.270
       0.293        0.000        4.059        9.270
       0.294        0.000        4.059        9.270
       0.294        0.000        4.059        9.270
       0.295        0.000        4.059        9.270
       0.296        0.000        4.059        9.270
       0.297        0.000        4.059        9.270
       0.298        0.000        4.059        9.270
       0.299        0.000        4.059        9.270
       0.300        0.000        4.059        9.270
       0.301        0.000        4.059        9.270
       0.302        0.000        4.059        9.270
       0.302        0.000        4.059        9.270
       0.303        0.000        4.059        9.270
       0.304        0.000        4.059        9.270
       0.305        0.000        4.059        9.270
       0.306        0.000        4.059        9.270
       0.307        0.000        4.059        9.270
       0.308        0.000        4.059        9.270
       0.308        0.000        4.059        9.270
       0.309        0.000        4.059        9.270
       0.310        0.000        4.059        9.270
       0.311        0.000        4.059        9.270
       0.312        0.000        4.059        9.270
       0.313        0.000        4.059        9.270
       0.314        0.000        4.059        9.270
       0.315        0.000        4.059        9.270
       0.315        0.000        4.059        9.270
       0.316        0.000        4.059        9.270
       0.317        0.000        4.059        9.270
       0.318        0.000        4.059        9.270
       0.319        0.000        4.059        9.270
       0.320        0.000        4.059        9.270
       0.320        0.000        4.059        9.270
       0.321        0.000        4.059        9.270
       0.322        0.000        4.059        9.270
       0.323        0.000        4.059        9.270
       0.324        0.000        4.059        9.270
       0.325        0.000        4.059        9.270
       0.326        0.000        4.059        9.270
       0.326        0.000        4.059        9.270
       0.327        0.000        4.059        9.270
       0.328        0.000        4.059        9.270
       0.329        0.000        4.059        9.270
       0.330        0.000        4.059        9.270
       0.330        0.000        4.059        9.270
       0.331        0.000        4.059        9.270
       0.332        0.000        4.059        9.270
       0.333        0.000        4.059        9.270
       0.334        0.000        4.059        9.270
       0.335        0.000        4.059        9.270
       0.336        0.000        4.059        9.270
       0.336        0.000        4.059        9.270
       0.337        0.000        4.059        9.270
       0.338        0.000        4.059        9.270
       0.339        0.000        4.059        9.270
       0.340        0.000        4.059        9.270
       0.341        0.000        4.059        9.270
       0.341        0.000        4.059        9.270
       0.342        0.000        4.059        9.270
       0.343        0.000        4.059        9.270
       0.344        0.000        4.059        9.270
       0.345        0.000        4.059        9.270
       0.346        0.000        4.059        9.270
       0.347        0.000        4.059        9.270
       0.348        0.000        4.059        9.270
       0.349        0.000        4.059        9.270
       0.349        0.000        4.059        9.270
       0.350        0.000        4.059        9.270
       0.351        0.000        4.059        9.270
       0.352        0.000        4.059        9.270
       0.353        0.000        4.059        9.270
       0.354        0.000        4.059        9.270
       0.355        0.000        4.059        9.270
       0.355        0.000        4.059        9.270
       0.356        0.000        4.059        9.270
       0.357        0.000        4.059        9.270
       0.358        0.000        4.059        9.270
       0.359        0.000        4.059        9.270
       0.359        0.000        4.059        9.270
       0.360        0.000        4.059        9.270
       0.361        0.000        4.059        9.270
       0.362        0.000        4.059        9.270
       0.363        0.000        4.059        9.270
       0.364        0.000        4.059        9.270
       0.364        0.000        4.059        9.270
       0.365        0.000        4.059        9.270
       0.366        0.000        4.059        9.270
       0.367        0.000        4.059        9.270
       0.368        0.000        4.059        9.270
       0.369        0.000        4.059        9.270
       0.369        0.000        4.059        9.270
       0.370        0.000        4.059        9.270
       0.371        0.000        4.059        9.270
       0.372        0.000        4.059        9.270
       0.373        0.000        4.059        9.270
       0.374        0.000        4.059        9.270
       0.374        0.000        4.059        9.270
       0.375        0.000        4.059        9.270
       0.376        0.000        4.059        9.270
       0.377        0.000        4.059        9.270
       0.378        0.000        4.059        9.270
       0.378        0.000        4.059        9.270
       0.379        0.000        4.059        9.270
       0.380        0.000        4.059        9.270
       0.381        0.000        4.059        9.270
       0.382        0.000        4.059        9.270
       0.383        0.000        4.059        9.270
       0.383        0.000        4.059        9.270
       0.384        0.000        4.059        9.270
       0.385        0.000        4.059        9.270
       0.386        0.000        4.059        9.270
       0.387        0.000        4.059        9.270
       0.388        0.000        4.059        9.270
       0.388        0.000        4.059        9.270
       0.389        0.000        4.059        9.270
       0.390        0.000        4.059        9.270
       0.391        0.000        4.059        9.270
       0.392        0.000        4.059        9.270
       0.392        0.000        4.059        9.270
       0.393        0.000        4.059        9.270
       0.394        0.000        4.059        9.270
       0.395        0.000        4.059        9.270
       0.396        0.000        4.059        9.270
       0.396        0.000        4.059        9.270
       0.397        0.000        4.059        9.270
       0.398        0.000        4.059        9.270
       0.399        0.000        4.059        9.270
       0.400        0.000        4.059        9.270
       0.401        0.000        4.059        9.270
       0.401        0.000        4.059        9.270
       0.402        0.000        4.059        9.270
       0.403        0.000        4.059        9.270
       0.404        0.000        4.059        9.270
       0.405        0.000        4.059        9.270
       0.405        0.000        4.059        9.270
       0.406        0.000        4.059        9.270
       0.407        0.000        4.059        9.270
       0.408        0.000        4.059        9.270
       0.409        0.000        4.059        9.270
       0.410        0.000        4.059        9.270
       0.410        0.000        4.059        9.270
       0.411        0.000        4.059        9.270
       0.412        0.000        4.059        9.270
       0.413        0.000        4.059        9.270
       0.414        0.000        4.059        9.270
       0.414        0.000        4.059        9.270
       0.415        0.000        4.059        9.270
       0.416        0.000        4.059        9.270
       0.417        0.000        4.059        9.270
       0.418        0.000        4.059        9.270
       0.418        0.000        4.059        9.270
       0.419        0.000        4.059        9.270
       0.420        0.000        4.059        9.270
       0.421        0.000        4.059        9.270
       0.422        0.000        4.059        9.270
       0.423        0.000        4.059        9.270
       0.423        0.000        4.059        9.270
       0.424        0.000        4.059        9.270
       0.425        0.000        4.059        9.270
       0.426        0.000        4.059        9.270
       0.427        0.000        4.059        9.270
       0.427        0.000        4.059        9.270
       0.428        0.000        4.059        9.270
       0.429        0.000        4.059        9.270
       0.430        0.000        4.059        9.270
       0.431        0.000        4.059        9.270
       0.432        0.000        4.059        9.270
       0.433        0.000        4.059        9.270
       0.433        0.000        4.059        9.270
       0.434        0.000        4.059        9.270
       0.435        0.000        4.059        9.270
       0.436        0.000        4.059        9.270
       0.437        0.000        4.059        9.270
       0.438        0.000        4.059        9.270
       0.438        0.000        4.059        9.270
       0.439        0.000        4.059        9.270
       0.440        0.000        4.059        9.270
       0.441        0.000        4.059        9.270
       0.442        0.000        4.059        9.270
       0.442        0.000        4.059        9.270
       0.443        0.000        4.059        9.270
       0.444        0.000        4.059        9.270
       0.445        0.000        4.059        9.270
       0.446        0.000        4.059        9.270
       0.447        0.000        4.059        9.270
       0.447        0.000        4.059        9.270
       0.448        0.000        4.059        9.270
       0.449        0.000        4.059        9.270
       0.450        0.000        4.059        9.270
       0.451        0.000        4.059        9.270
       0.451        0.000        4.059        9.270
       0.452        0.000        4.059        9.270
       0.453        0.000        4.059        9.270
       0.454        0.000        4.059        9.270
       0.455        0.000        4.059        9.270
       0.455        0.000        4.059        9.270
       0.456        0.000        4.059        9.270
       0.457        0.000        4.059        9.270
       0.458        0.000        4.059        9.270
       0.459        0.000        4.059        9.270
       0.459        0.000        4.059        9.270
       0.460        0.000        4.059        9.270
       0.461        0.000        4.059        9.270
       0.462        0.000        4.059        9.270
       0.463        0.000        4.059        9.270
       0.464        0.000        4.059        9.270
       0.464        0.000        4.059        9.270
       0.465        0.000        4.059        9.270
       0.466        0.000        4.059        9.270
       0.467        0.000        4.059        9.270
       0.468        0.000        4.059        9.270
       0.468        0.000        4.059        9.270
       0.469        0.000        4.059        9.270
       0.470        0.000        4.059        9.270
       0.471        0.000        4.059        9.270
       0.472        0.000        4.059        9.270
       0.473        0.000        4.059        9.270
       0.473        0.000        4.059        9.270
       0.474        0.000        4.059        9.270
       0.475        0.000        4.059        9.270
       0.476        0.000        4.059        9.270
       0.477        0.000        4.059        9.270
       0.478        0.000        4.059        9.270
       0.479        0.000        4.059        9.270
       0.479        0.000        4.059        9.270
       0.480        0.000        4.059        9.270
       0.481        0.000        4.059        9.270
       0.482        0.000        4.059        9.270
       0.483        0.000        4.059        9.270
       0.483        0.000        4.059        9.270
       0.484        0.000        4.059        9.270
       0.485        0.000        4.059        9.270
       0.486        0.000        4.059        9.270
       0.487        0.000        4.059        9.270
       0.487        0.000        4.059        9.270
       0.488        0.000        4.059        9.270
       0.489        0.000        4.059        9.270
       0.490        0.000        4.059        9.270
       0.491        0.000        4.059        9.270
       0.492        0.000        4.059        9.270
       0.492        0.000        4.059        9.270
       0.493        0.000        4.059        9.270
       0.494        0.000        4.059        9.270
       0.495        0.000        4.059        9.270
       0.496        0.000        4.059        9.270
       0.497        0.000        4.059        9.270
       0.498        0.000        4.059        9.270
       0.499        0.000        4.059        9.270
       0.499        0.000        4.059        9.270
       0.500        0.000        4.059        9.270
       0.501        0.000        4.059        9.270
       0.503        0.000        4.059        9.270
       0.504        0.000        4.059        9.270
       0.504        0.000        4.059        9.270
       0.505        0.000        4.059        9.270
       0.506        0.000        4.059        9.270
       0.507        0.000        4.059        9.270
       0.508        0.000        4.059        9.270
       0.509        0.000        4.059        9.270
       0.509        0.000        4.059        9.270
       0.510        0.000        4.059        9.270
       0.511        0.000        4.059        9.270
       0.512        0.000        4.059        9.270
       0.513        0.000        4.059        9.270
       0.514        0.000        4.059        9.270
       0.514        0.000        4.059        9.270
       0.515        0.000        4.059        9.270
       0.516        0.000        4.059        9.270
       0.517        0.000        4.059        9.270
       0.518        0.000        4.059        9.270
       0.518        0.000        4.059        9.270
       0.519        0.000        4.059        9.270
       0.520        0.000        4.059        9.270
       0.521        0.000        4.059        9.270
       0.522        0.000        4.059        9.270
       0.522        0.000        4.059        9.270
       0.523        0.000        4.059        9.270
       0.524        0.000        4.059        9.270
       0.525        0.000        4.059        9.270
       0.526        0.000        4.059        9.270
       0.527        0.000        4.059        9.270
       0.528        0.000        4.059        9.270
       0.529        0.000        4.059        9.270
       0.529        0.000        4.059        9.270
       0.530        0.000        4.059        9.270
       0.531        0.000        4.059        9.270
       0.532        0.000        4.059        9.270
       0.533        0.000        4.059        9.270
       0.534        0.000        4.059        9.270
       0.534        0.000        4.059        9.270
       0.535        0.000        4.059        9.270
       0.536        0.000        4.059        9.270
       0.537        0.000        4.059        9.270
       0.538        0.000        4.059        9.270
       0.539        0.000        4.059        9.270
       0.539        0.000        4.059        9.270
       0.540        0.000        4.059        9.270
       0.541        0.000        4.059        9.270
       0.542        0.000        4.059        9.270
       0.543        0.000        4.059        9.270
       0.544        0.000        4.059        9.270
       0.545        0.000        4.059        9.270
       0.545        0.000        4.059        9.270
       0.546        0.000        4.059        9.270
       0.547        0.000        4.059        9.270
       0.548        0.000        4.059        9.270
       0.549        0.000        4.059        9.270
       0.550        0.000        4.059        9.270
       0.551        0.000        4.059        9.270
       0.551        0.000        4.059        9.270
       0.552        0.000        4.059        9.270
       0.553        0.000        4.059        9.270
       0.554        0.000        4.059        9.270
       0.555        0.000        4.059        9.270
       0.556        0.000        4.059        9.270
       0.556        0.000        4.059        9.270
       0.557        0.000        4.059        9.270
       0.558        0.000        4.059        9.270
       0.559        0.000        4.059        9.270
       0.560        0.000        4.059        9.270
       0.561        0.000        4.059        9.270
       0.561        0.000        4.059        9.270
       0.562        0.000        4.059        9.270
       0.563        0.000        4.059        9.270
       0.564        0.000        4.059        9.270
       0.565        0.000        4.059        9.270
       0.566        0.000        4.059        9.270
       0.566        0.000        4.059        9.270
       0.567        0.000        4.059        9.270
       0.568        0.000        4.059        9.270
       0.569        0.000        4.059        9.270
       0.570        0.000        4.059        9.270
       0.570        0.000        4.059        9.270
       0.571        0.000        4.059        9.270
       0.572        0.000        4.059        9.270
       0.573        0.000        4.059        9.270
       0.574        0.000        4.059        9.270
       0.575        0.000        4.059        9.270
       0.576        0.000        4.059        9.270
       0.576        0.000        4.059        9.270
       0.577        0.000        4.059        9.270
       0.578        0.000        4.059        9.270
       0.579        0.000        4.059        9.270
       0.580        0.000        4.059        9.270
       0.580        0.000        4.059        9.270
       0.581        0.000        4.059        9.270
       0.582        0.000        4.059        9.270
       0.583        0.000        4.059        9.270
       0.584        0.000        4.059        9.270
       0.585        0.000        4.059        9.270
       0.585        0.000        4.059        9.270
       0.586        0.000        4.059        9.270
       0.587        0.000        4.059        9.270
       0.588        0.000        4.059        9.270
       0.589        0.000        4.059        9.270
       0.590        0.000        4.059        9.270
       0.591        0.000        4.059        9.270
       0.591        0.000        4.059        9.270
       0.592        0.000        4.059        9.270
       0.593        0.000        4.059        9.270
       0.594        0.000        4.059        9.270
       0.595        0.000        4.059        9.270
       0.595        0.000        4.059        9.270
       0.596        0.000        4.059        9.270
       0.597        0.000        4.059        9.270
       0.598        0.000        4.059        9.270
       0.599        0.000        4.059        9.270
       0.600        0.000        4.059        9.270
       0.601        0.000        4.059        9.270
       0.602        0.000        4.059        9.270
       0.602        0.000        4.059        9.270
       0.603        0.000        4.059        9.270
       0.604        0.000        4.059        9.270
       0.605        0.000        4.059        9.270
       0.606        0.000        4.059        9.270
       0.607        0.000        4.059        9.270
       0.607        0.000        4.059        9.270
       0.608        0.000        4.059        9.270
       0.609        0.000        4.059        9.270
       0.610        0.000        4.059        9.270
       0.611        0.000        4.059        9.270
       0.612        0.000        4.059        9.270
       0.612        0.000        4.059        9.270
       0.613        0.000        4.059        9.270
       0.614        0.000        4.059        9.270
       0.615        0.000        4.059        9.270
       0.616        0.000        4.059        9.270
       0.617        0.000        4.059        9.270
       0.618        0.000        4.059        9.270
       0.618        0.000        4.059        9.270
       0.619        0.000        4.059        9.270
       0.620        0.000        4.059        9.270
       0.621        0.000        4.059        9.270
       0.622        0.000        4.059        9.270
       0.623        0.000        4.059        9.270
       0.623        0.000        4.059        9.270
       0.624        0.000        4.059        9.270
       0.625        0.000        4.059        9.270
       0.626        0.000        4.059        9.270
       0.627        0.000        4.059        9.270
       0.627        0.000        4.059        9.270
       0.628        0.000        4.059        9.270
       0.629        0.000        4.059        9.270
       0.630        0.000        4.059        9.270
       0.631        0.000        4.059        9.270
       0.632        0.000        4.059        9.270
       0.632        0.000        4.059        9.270
       0.633        0.000        4.059        9.270
       0.634        0.000        4.059        9.270
       0.635        0.000        4.059        9.270
       0.636        0.000        4.059        9.270
       0.636        0.000        4.059        9.270
       0.637        0.000        4.059        9.270
       0.638        0.000        4.059        9.270
       0.639        0.000        4.059        9.270
       0.640        0.000        4.059        9.270
       0.641        0.000        4.059        9.270
       0.641        0.000        4.059        9.270
       0.642        0.000        4.059        9.270
       0.643        0.000        4.059        9.270
       0.644        0.000        4.059        9.270
       0.645        0.000        4.059        9.270
       0.645        0.000        4.059        9.270
       0.646        0.000        4.059        9.270
       0.647        0.000        4.059        9.270
       0.648        0.000        4.059        9.270
       0.649        0.000        4.059        9.270
       0.650        0.000        4.059        9.270
       0.650        0.000        4.059        9.270
       0.651        0.000        4.059        9.270
       0.652        0.000        4.059        9.270
       0.653        0.000        4.059        9.270
       0.654        0.000        4.059        9.270
       0.654        0.000        4.059        9.270
       0.655        0.000        4.059        9.270
       0.656        0.000        4.059        9.270
       0.657        0.000        4.059        9.270
       0.658        0.000        4.059        9.270
       0.659        0.000        4.059        9.270
       0.659        0.000        4.059        9.270
       0.660        0.000        4.059        9.270
       0.661        0.000        4.059        9.270
       0.662        0.000        4.059        9.270
       0.663        0.000        4.059        9.270
       0.664        0.000        4.059        9.270
       0.664        0.000        4.059        9.270
       0.665        0.000        4.059        9.270
       0.666        0.000        4.059        9.270
       0.667        0.000        4.059        9.270
       0.668        0.000        4.059        9.270
       0.669        0.000        4.059        9.270
       0.669        0.000        4.059        9.270
       0.670        0.000        4.059        9.270
       0.671        0.000        4.059        9.270
       0.672        0.000        4.059        9.270
       0.673        0.000        4.059        9.270
       0.674        0.000        4.059        9.270
       0.674        0.000        4.059        9.270
       0.675        0.000        4.059        9.270
       0.676        0.000        4.059        9.270
       0.677        0.000        4.059        9.270
       0.678        0.000        4.059        9.270
       0.678        0.000        4.059        9.270
       0.679        0.000        4.059        9.270
       0.680        0.000        4.059        9.270
       0.681        0.000        4.059        9.270
       0.682        0.000        4.059        9.270
       0.683        0.000        4.059        9.270
       0.683        0.000        4.059        9.270
       0.684        0.000        4.059        9.270
       0.685        0.000        4.059        9.270
       0.686        0.000        4.059        9.270
       0.687        0.000        4.059        9.270
       0.687        0.000        4.059        9.270
       0.688        0.000        4.059        9.270
       0.689        0.000        4.059        9.270
       0.690        0.000        4.059        9.270
       0.691        0.000        4.059        9.270
       0.692        0.000        4.059        9.270
       0.692        0.000        4.059        9.270
       0.693        0.000        4.059        9.270
       0.694        0.000        4.059        9.270
       0.695        0.000        4.059        9.270
       0.696        0.000        4.059        9.270
       0.696        0.000        4.059        9.270
       0.697        0.000        4.059        9.270
       0.698        0.000        4.059        9.270
       0.699        0.000        4.059        9.270
       0.700        0.000        4.059        9.270
